_id,transactionId,amount,category,date,description,type
60a7c1b9e4b0c12345678901,1,75000,Salary,2024-11-01,Monthly salary,Income
60a7c1b9e4b0c12345678902,2,15000,Rent,2024-11-02,Apartment rent,Expense
60a7c1b9e4b0c12345678903,3,3500,Groceries,2024-11-05,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678904,4,2000,Utilities,2024-11-10,Electricity bill,Expense
60a7c1b9e4b0c12345678905,5,1000,Entertainment,2024-11-15,Movie tickets,Expense
60a7c1b9e4b0c12345678906,6,10000,Freelance,2024-11-20,Freelance project payment,Income
60a7c1b9e4b0c12345678907,7,5000,Groceries,2024-11-25,,Expense
60a7c1b9e4b0c12345678908,8,1500,Transportation,2024-11-28,Fuel,Expense
60a7c1b9e4b0c12345678909,9,3000,Investment,2024-11-30,Mutual fund dividend,Income
60a7c1b9e4b0c12345678910,10,800,Entertainment,2024-11-30,Streaming subscription,Expense
60a7c1b9e4b0c12345678911,11,78000,Salary,2024-12-01,Monthly salary,Income
60a7c1b9e4b0c12345678912,12,15000,Rent,2024-12-02,Apartment rent,Expense
60a7c1b9e4b0c12345678913,13,4000,Groceries,2024-12-06,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678914,14,2500,Utilities,2024-12-10,Water bill,Expense
60a7c1b9e4b0c12345678915,15,2000,Entertainment,2024-12-15,Dining out,Expense
60a7c1b9e4b0c12345678916,16,12000,Freelance,2024-12-20,Freelance project payment,Income
60a7c1b9e4b0c12345678917,17,7000,Groceries,2024-12-25,Festival shopping,Expense
60a7c1b9e4b0c12345678918,18,1800,Transportation,2024-12-30,Cab fare,Expense
60a7c1b9e4b0c12345678919,19,4000,Investment,2024-12-31,Fixed deposit interest,Income
60a7c1b9e4b0c12345678920,20,80000,Salary,2025-01-01,Monthly salary,Income
60a7c1b9e4b0c12345678921,21,15500,Rent,2025-01-02,Apartment rent,Expense
60a7c1b9e4b0c12345678922,22,3800,Groceries,2025-01-07,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678923,23,2200,Utilities,2025-01-10,Internet bill,Expense
60a7c1b9e4b0c12345678924,24,2500,Entertainment,2025-01-15,Concert tickets,Expense
60a7c1b9e4b0c12345678925,25,15000,Freelance,2025-01-20,Freelance project payment,Income
60a7c1b9e4b0c12345678926,26,5500,Groceries,2025-01-25,,Expense
60a7c1b9e4b0c12345678927,27,1600,Transportation,2025-01-28,Fuel,Expense
60a7c1b9e4b0c12345678928,28,5000,Investment,2025-01-31,Dividend payment,Income
60a7c1b9e4b0c12345678929,29,82000,Salary,2025-02-01,Monthly salary,Income
60a7c1b9e4b0c12345678930,30,15500,Rent,2025-02-02,Apartment rent,Expense
60a7c1b9e4b0c12345678931,31,4200,Groceries,2025-02-06,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678932,32,2600,Utilities,2025-02-10,Electricity bill,Expense
60a7c1b9e4b0c12345678933,33,1200,Entertainment,2025-02-15,Movie tickets,Expense
60a7c1b9e4b0c12345678934,34,8000,Freelance,2025-02-20,Freelance project payment,Income
60a7c1b9e4b0c12345678935,35,6000,Groceries,2025-02-25,,Expense
60a7c1b9e4b0c12345678936,36,1700,Transportation,2025-02-28,Fuel,Expense
60a7c1b9e4b0c12345678937,37,85000,Salary,2025-03-01,Monthly salary,Income
60a7c1b9e4b0c12345678938,38,16000,Rent,2025-03-02,Apartment rent,Expense
60a7c1b9e4b0c12345678939,39,4500,Groceries,2025-03-06,Weekly grocery shopping,Expense
60a7c1b9e4b0c12345678940,40,2800,Utilities,2025-03-10,Water bill,Expense
